,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Befolkning 1. januar,31 Østfold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312152
,32 Akershus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728803
,30 Viken (2020-2023),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241165,1252384,1269230,1292241,0
,01 Østfold (-2019),260389,262523,265458,268584,271662,274827,278352,282000,284962,287198,289867,292893,295420,297520,0,0,0,0,0
,02 Akershus (-2019),501125,509177,518567,527625,536499,545653,556254,566399,575757,584899,594533,604368,614026,624055,0,0,0,0,0
,03 Oslo,538411,548617,560484,575475,586860,599230,613285,623966,634463,647676,658390,666759,673469,681071,693494,697010,699827,709037,717710
,34 Innlandet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371385,370603,371253,373628,376304
,04 Hedmark (-2019),188511,188692,189289,190071,190709,191622,192791,193719,194433,195153,195356,196190,196966,197406,0,0,0,0,0
,05 Oppland (-2019),183204,183037,183637,184288,185216,186087,187147,187254,187820,188807,188953,189479,189870,189545,0,0,0,0,0
,33 Buskerud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269819
,06 Buskerud (-2019),245225,247655,251220,254634,257673,261110,265164,269003,272228,274737,277684,279714,281769,283148,0,0,0,0,0
,39 Vestfold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256432
,40 Telemark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177093
,38 Vestfold og Telemark (2020-2023),0,0,0,0,0,0,0,0,0,0,0,0,0,0,419396,421882,424832,429101,0
,07 Vestfold (-2019),222104,223804,226433,229134,231286,233705,236424,238748,240860,242662,244967,247048,249058,251078,0,0,0,0,0
,08 Telemark (-2019),166140,166170,166731,167548,168231,169185,170023,170902,171469,171953,172494,173307,173391,173318,0,0,0,0,0
,42 Agder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307231,308843,311134,316051,319850
,09 Aust-Agder (-2019),104084,104759,106130,107359,108499,110048,111495,112772,113747,114767,115785,116673,117222,117655,0,0,0,0,0
,10 Vest-Agder (-2019),162317,163702,165944,168233,170377,172408,174324,176353,178478,180877,182701,184116,186532,187589,0,0,0,0,0
,11 Rogaland,397594,404566,412687,420574,427947,436087,443115,452159,459625,466302,470175,472024,473526,475654,479892,482645,485797,492350,499417
,46 Vestland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636531,638821,641292,646205,651299
,12 Hordaland (-2019),452611,456711,462674,469681,477175,484240,490570,498135,505246,511357,516497,519963,522539,524495,0,0,0,0,0
,13 Bergen (-1971),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14 Sogn og Fjordane (-2019),106650,106194,106259,106457,107080,107742,108201,108700,108965,109170,109530,110266,110230,109774,0,0,0,0,0
,15 Møre og Romsdal,244978,245385,246772,248727,251262,253904,256628,259404,261530,263719,265290,266274,266856,265392,265238,265544,265848,268365,270624
,50 Trøndelag - Trööndelage,0,0,0,0,0,0,0,0,0,0,0,0,458744,464060,468702,471124,474131,478470,482956
,16 Sør-Trøndelag (-2017),275403,278836,282993,286729,290547,294066,297950,302755,306197,310047,313370,317363,0,0,0,0,0,0,0
,17 Nord-Trøndelag (-2017),128694,129069,129856,130708,131555,132140,133390,134443,135142,135738,136399,137233,0,0,0,0,0,0,0
,18 Nordland - Nordlánnda,236257,235436,234996,235380,236271,237280,238320,239611,240877,241682,241906,242866,243335,243385,241235,240345,240190,241084,243081
,55 Troms - Romsa - Tromssa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169610
,56 Finnmark - Finnmárku - Finmarkku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75053
,54 Troms og Finnmark - Romsa ja Finnmárku (2020-2023),0,0,0,0,0,0,0,0,0,0,0,0,0,0,243311,242168,241736,242452,0
,19 Troms - Romsa (-2019),153585,154136,154642,155553,156494,157554,158650,160418,162050,163453,164330,165632,166499,167202,0,0,0,0,0
,20 Finnmark - Finnmárku (-2019),72937,72665,72399,72492,72856,73417,73787,74534,75207,75605,75758,76149,76167,75865,0,0,0,0,0
,21 Svalbard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,22 Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,23 Kontinentalsokkelen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,25 Utlandet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,26 Havområder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,88 Ikke bosatt i Norge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,99 Uoppgitt fylke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
